3alami,5
ostouri,5 
fort,5
3ssal,5
mezien,4
ihabbel,5
7low,4
raw3a,5
ftou9,5
chah,5
طيارة,5
عالمي,5
أسطوري,5
عسل,5
مزيان,4
يهبل,5 
اشاه,5
حلو,4
روعة,5
فتووق,5 
ta7foun,4
ifatta9,5
mahleh,4
l7out3lik,4
5w5mis,4
moch3adi,4
تحفون,4
مزيان,4
الحوت,4
يفتّق,5
محلاه,4
yanja7,3
chbeb,3
ينجح,3
شباب,3
behi,2
moutwassét,1
cv,1 
yasla7,2
باهي,2
متوسّط,1
تصلح,2
3adi,1
عادي,1
khayeb,-2
ma3jebnich,-2
tadhyi3wa9t,-3
3al7it,-4
tefah,-4
majéchay,-4
masset,-4
lasset,-4
i3ayef,-5
mo9ref,-5
moght,-5
mogleg,-5
mahzla,-5
اعيّف,-5
مقرف,-5
مغط,-5
مقلق,-5
مهزلة,-5
علالحيط,-4
تافه,-4
ماجاشي,-4
خايببرشا,-3
خايب,-2
معجبنيش,-2
موشباهي,-1
اله,5
نحب,5
bravo,5
مخنوق,-4
يحبوك,4
غمة,-4
top,5
مبروك,3
تحية,2
ahla,4
احلى,3
يارب,3
خير,2
alah,
bon,1
love,5
محلاك,5
nchalah,1
سايس,2
belle,3
كبير,3
inchalah,2
mahlek,4
best,5
نحبك,4
بالخير,3
النحلة,4
المستقبل,1
mabrouk,2
يحفظك,2
بزاف,3
merci,2
القوة,3
لحيوط,-1
تحياتي,3
الجديد,1
سراقة,-4
الجنة,3
بري,-2
احسن,3
شواطن,-3
بالتوفيق,4
انشاء,3
خيرا,4
جمهور,2
الخير,3
الرجلاة,1
رهوط,-5
مربط,-3
كحل,1
ضبع,-5
المتحيل,-4
معلم,5
بموت,4
مبيلى,-2
المناضر,-3
صحرء,-1
برافو,4
يرحم,2
واصل,4
مرحبا,1
يرحمهم,2
يحب,1 
صحيح,1
continuation,1
شكرا,1
يوفقك,3
courage,3
ملك,3
يبارك,3
bien,2
hobi,3
قلب,2
السلام,1
قوة,3
أحسن,3
نجاح,3
asal,5
saha,1
جديد,1
راجل,3
النجاح,3
فنان,5
jdid,3
zinek,5
يرحمو,2
waw,5
نحبوك,5
أمين,1
chance,2
نتمنى,0 
الكأس,1
أحلى,4
kif,4
تحيا,3
فسيح,2
نور,3
حمودة,2
يمّا,1
machalah,5
آمين,3
رجال,4
منورة,4
roi,3
magnifique,4
جدا,1
جميل,4
grand,3
حيت,1
انشاله,2
nheb,2
brabi,-1
كتير,2
titnahad,-1
هدف,2
مبنك,4
nbous,2
عذاب,-3
جناتك,1
شهداء,2
يحبّو,2
bro,1
bisou,3
سلام,1
عربي,1
تحيه,1
الموت,-3
ارحم,1
نشاله,2
الوطن,1
تستاهل,-5
الغربة,-1
jaw,5
ومحلا,4
khouya,2
بلطوش,2
زايد,-3
الوطني,3
nika,-1
ماشاءاله,5
افضل,4
zink,4
الحمد,2
nour,2
يموت,-2
الصحة,2
بربي,-1
خسارة,-3
روح,2
respect,3
ياحبي,3
القطوسة,3
غمّة,-4
الهـم,-3
القلب,1
الحياة,2
big,3
taime,3
bari,-2
لالا,-1
الشقيق,1
king,5
monde,1
الجيش,1
malm,2
tchikh,3
nchala,3
رائع,5
الفنان,4
الحب,3
خماج,-5
الفردوس,3
zin,3
زينك,3
sahbi,2
تبارك,2
viva,2
جميلة,4
فان,3
سيدنا,3
التوفيق,3
القبر,-2
akwa,4
الورد,2
بخير,2
فاضية,-3
bravau,4
فخر,5
jaime,4
شوية,-1
الاول,4
موفق,4
nice,4
الغالية,4
رائعة,5
sucès,4
مربوحة,4
مشاء,4
البشر,-1
ماشاء,4
جمعية,2
habibti,4
ghali,3
great,5
الفل,2
استمر,3
mnawer,5
félicitations,4
شرف,3
قدر,3
لايك,1
bad,-3
يزي,-1
meileur,4
luck,4
super,4
jadore,4
غما,-4
حلوة,4
mahlak,4
hlouwa,4
bizaf,2
contre,-2
rajel,4
fkhathik,-2
❤️❤️,4
رابحين,4
عادل,1
طيب,1
loula,4
صحة,3
vive,4
خاسرين,-3
boss,5
يعجبني,4
الجمال,3
sidrik,-2
احلا,3
زين,4
الاولى,4
mra,4
aime,3
حبي,3
فضايح,-4
فروخ,-5
وتقدير,3
hbel,4
mryoul,1
انصرهم,2
wahda,-1
زعيم,3
bazoula,-2
اقوى,3
beautiful,4
hasra,-1
والنجاح,4 
طلع,2
خادم,2
grande,3
akther,2
yayay,3
fan,3
ربحت,3
like,3
نتمنو,2
الكبير,3
ayay,3
ykhalik,3
yarhmou,3
beau,3
يلعن,-4
جديدة,3
القلوب,3
نعمة,3
milions,3
جام,3
شابة,1
كرهونا,-4
dancer,2
أنعمت,2
ﻧﺸﻜﻴﻠﻚ,-2
🇹🇳❤️🇹🇳❤️🇹🇳,4
الشغب,-2
وبركاته,3
فضيحة,-4
wish,1
🇹🇳🔥🇹🇳,2
المرحوم,-3
الفقر,-4
mhlk,3
mahrouma,-4
meziana,4
الابرار,2
يالطيف,-4
الزين,4
حداد,-3
🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳,2
بحبك,4
mérite,3
سيب,-2
ملاعبية,5
حمراء,1
hors,-1
المجرمين,-5
منوره,4
فاشل,-4
sormha,-5
سعيد,4
🇹🇳💪🏼🇹🇳💪🏼🇹🇳,5
nountha,-4
nhebek,5
حرام,-5
وطني,2
الحاكم,-1
manfoukh,-2
bsaraha,-1
خمسة,1
يقصو,-1
chfayfou,-2
petit,-2
hayja,-1
ناجح,4
خطاياه,-3
الظالمين,-3
wow,5
artiste,5
زوالي,-1
مسكين,-4
محلك,4
